MOLAVE STREET BARBERS PAYROLL REPORT
"Generated on: November 02, 2025 03:18 AM"

"=== BASIC PAYROLL INFORMATION ==="
"Employee ID","Nickname","Role","Start Date","End Date"
"MSB-2025-0001",""Meru"",""Barber"","2025-10-26","2025-11-02"

"=== SERVICE COUNT ==="
"Service Name","Count/Amount"
"Haircut","1"
"Haircut (Reservation)","2"
"Haircut/Wash","0"
"Haircut/Hot Towel","0"
"Haircut/Hair Dye","0"
"Haircut/Hair Color","0"
"Haircut/Highlights","0"
"Haircut/Hot Bleaching","0"
"Haircut/Perm","0"
"Rebond/Short Hair","0"
"Rebond/Long Hair","0"
"Braid (Amount)","₱200"

"=== EMPLOYEE DEDUCTION ==="
"Deduction Type","Count/Amount"
"Cash Advance","₱200"
"Late (Count)","2"
"Absent (Count)","2"
"Saving Fund","₱200"
"Saving Fund Status","Addition"

"=== COMPUTATION ==="
"Description","Amount"
"Gross Pay","₱200.00"
"Total Deduction","₱360.00"
"Net Pay","₱40.00"

"=== RELEASE INFORMATION ==="
"Release Date"
"2025-11-02"
